date,fd_offset,division,lineage,count
2021-11-08,-54,South Carolina,other,1
2021-10-22,-71,Michigan,21I,15
2021-12-10,-22,California,21A,3
2021-11-14,-48,Colorado,21I,12
2021-11-18,-44,Indiana,21J,139
2021-11-30,-32,Massachusetts,21K,6
2021-10-13,-80,West Virginia,21A,3
2021-11-29,-33,Colorado,21J,509
2021-12-03,-29,Pennsylvania,21I,8
2021-10-18,-75,Arizona,21A,5
2021-10-18,-75,Maryland,other,2
2021-10-03,-90,Utah,other,2
2021-11-09,-53,Arkansas,21I,1
2021-10-23,-70,Colorado,21A,1
2021-12-02,-30,Texas,21K,2
2021-11-14,-48,Wisconsin,other,1
2021-10-21,-72,Arizona,21I,7
2021-10-05,-88,Utah,21I,1
2021-11-09,-53,Washington,21A,2
2021-11-06,-56,Minnesota,21J,487
2021-11-21,-41,Ohio,21J,71
2021-10-21,-72,Alabama,21J,18
2021-11-01,-61,Kansas,21J,38
2021-12-19,-13,New Hampshire,21K,2
2021-11-13,-49,Illinois,21I,5
2021-11-22,-40,Utah,21A,1
2021-11-11,-51,Arizona,21I,4
2021-10-27,-66,South Carolina,21J,47
2021-12-03,-29,Massachusetts,21J,1109
2021-11-03,-59,South Carolina,21I,1
2021-10-13,-80,Illinois,21I,10
2021-10-19,-74,Hawaii,21J,12
2021-11-01,-61,Rhode Island,21I,1
2021-11-11,-51,Utah,21A,5
2021-11-15,-47,Oregon,other,1
2021-10-29,-64,Iowa,21A,1
2021-10-14,-79,Ohio,21I,8
2021-11-28,-34,Arizona,21A,2
2021-12-05,-27,Pennsylvania,21J,75
2021-10-08,-85,Arizona,21J,103
2021-11-12,-50,Georgia,21J,59
2021-11-03,-59,Hawaii,21J,4
2021-11-01,-61,Wisconsin,other,1
2021-11-27,-35,Vermont,21I,1
2021-12-12,-20,Kentucky,21J,21
2021-10-29,-64,Nevada,21A,1
2021-10-20,-73,Vermont,21J,102
2021-10-26,-67,Missouri,21I,3
2021-10-11,-82,Washington DC,21J,11
2021-11-06,-56,Rhode Island,21A,1
2021-10-22,-71,South Dakota,21J,10
2021-11-13,-49,Michigan,other,3
2021-10-23,-70,Maryland,21I,3
2021-10-11,-82,Illinois,21A,4
2021-11-03,-59,New York,21I,5
2021-11-14,-48,Maryland,21J,40
2021-11-06,-56,Missouri,21J,38
2021-10-10,-83,Illinois,21I,11
2021-10-19,-74,Florida,21J,107
2021-12-16,-16,Pennsylvania,21J,65
2021-10-09,-84,Nevada,21I,4
2021-10-04,-89,Hawaii,21J,5
2021-12-04,-28,Virginia,21J,32
2021-11-12,-50,California,21J,791
2021-10-17,-76,Indiana,21J,68
2021-10-23,-70,Kansas,21I,4
2021-10-05,-88,North Carolina,21A,2
2021-10-04,-89,Wyoming,21A,1
2021-12-15,-17,Missouri,21K,3
2021-10-28,-65,Alaska,21A,2
2021-10-04,-89,Indiana,21I,16
2021-11-22,-40,Oklahoma,21I,1
2021-12-13,-19,Colorado,21I,1
2021-10-11,-82,Rhode Island,21J,57
2021-11-13,-49,New Hampshire,21J,57
2021-10-25,-68,Florida,21A,3
2021-10-07,-86,Ohio,21J,221
2021-10-05,-88,Illinois,21J,178
2021-12-06,-26,New Jersey,21J,95
2021-12-16,-16,Puerto Rico,21J,2
2021-10-13,-80,North Carolina,21J,239
2021-12-02,-30,Vermont,21I,3
2021-11-17,-45,Iowa,21I,1
2021-10-09,-84,Delaware,21J,10
2021-11-24,-38,Vermont,21J,2
2021-11-27,-35,Alabama,21I,1
2021-12-15,-17,California,21J,680
